libxinerama 1.1.4-1
libxkbcommon 0.8.4-1
libxkbcommon-x11 0.8.4-1
libxkbfile 1.1.0-1
libxklavier 5.4-2
libxml2 2.9.9-3
libxmu 1.1.3-1
libxpm 3.5.12-2
libxpresent 1.0.0-1
libxrandr 1.5.2-1
libxrender 0.9.10-2
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.33-1
libxss 1.2.3-1
libxt 1.2.0-1
libxtst 1.2.3-2
libxv 1.0.11-2
libxvmc 1.0.11-1
libxxf86dga 1.1.5-1
libxxf86vm 1.1.4-2
libyaml 0.2.2-1
libzip 1.5.2-2
libzmf 0.0.2-6
licenses 20181104-1
light 1.2-3
lilv 0.24.4-3
linux 5.3.arch1-1
linux-api-headers 5.1-1
linux-firmware 20190815.07b925b-1
lld 8.0.1-1
llvm 8.0.1-3
llvm-libs 8.0.1-3
lm_sensors 3.5.0-1
lmdb 0.9.24-1
logrotate 3.15.1-1
lpsolve 5.5.2.5-3
lsb-release 1.4-15
lua 5.3.5-2
lua52 5.2.4-4
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-4
lua52-lpeg 1.0.2-1
lua52-luajson 1.3.4-2
lua52-socket 20190219-1
luajit 2.0.5-2
lv2 1.16.0-3
lvm2 2.02.186-2
lxqt-policykit 0.14.1-1
lynx 2.8.9-2
lz4 1:1.9.2-1
lzo 2.10-2
m4 1.4.18-2
mailcap 2.1.48+14+g5811758-1
make 4.2.1-3
man-db 2.8.7-1
man-pages 5.02-1
mariadb-libs 10.4.8-2
maven 3.6.2-1
mdadm 4.1-1
media-player-info 24-1
mesa 19.1.7-1
mesa-demos 8.4.0-1
metis 5.1.0.p6-1
minidlna 1.2.1-4
minizip 1:1.2.11-3
mjpegtools 2.1.0-4
mkinitcpio 25-2
mkinitcpio-busybox 1.30.1-1
mlt 6.16.0-1
mobile-broadband-provider-info 20190116-1
mozilla-common 1.4-5
mpfr 4.0.2-1
mpg123 1.25.12-1
msgpack-c 3.2.0-1
mtdev 1.1.5-2
mtpfs 1.1-3
musl 1.1.23-1
mutter 3.34.0+6+gab7af2d0c-1
mypaint-brushes 2.0.1-1
mypaint-brushes1 1.3.0-1
